Year,Extroversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position,Pets,Piercings
Fourth,5,5,9,Right-handed,Right leg in first,On your left side,Hamster or Guinea Pig,2
Second,8,7,7,Ambidextrous ,Left leg in first,On your back,Hamster or Guinea Pig,2
First,7,10,8,Right-handed,Right leg in first,On your left side,Hamster or Guinea Pig,0
Second,6,5,7,Right-handed,Right leg in first,On your left side,Hamster or Guinea Pig,0
Second,6,6,8,Right-handed,Right leg in first,On your stomach,Hamster or Guinea Pig,0
First,8,10,6,Left-handed,Left leg in first,On your left side,hermit crab,0
Third,4,3,6,Right-handed,Left leg in first,On your left side,houseplants,5
First,5,1,4,Right-handed,Right leg in first,On your right side,I have five younger siblings,2
Third,7,5,5,Right-handed,Right leg in first,On your left side,I want to have..,1
First,4,6,7,Right-handed,Left leg in first,On your right side,Lizard,2
Second,4,5,8,Right-handed,Right leg in first,On your left side,Lizard,2
Second,7,5,7,Right-handed,Right leg in first,On your back,Lizard,1
Second,3,3,8,Right-handed,Right leg in first,On your right side,"Lizard, None",0
Second,4,8,7,Right-handed,Right leg in first,On your right side,my girlfriend,0
Second,7,4,5,Right-handed,Right leg in first,On your left side,None,21
Second,3,20,7,Right-handed,Right leg in first,On your stomach,None,15
Third,7,2,8,Right-handed,Right leg in first,On your right side,None,12
Fourth,5,10,6,Right-handed,Right leg in first,On your back,None,9
Second,5,10,8,Right-handed,Right leg in first,On your left side,None,9
Third,7,10,6,Right-handed,Left leg in first,On your right side,None,9
First,6,4,6,Right-handed,Right leg in first,On your left side,None,8
Fourth,4,5,8,Left-handed,Left leg in first,On your back,None,8
Second,5,2,7,Right-handed,I don't know,On your back,None,8
Third,5,5,8,Right-handed,Right leg in first,On your right side,None,8
First,7,10,7,Right-handed,Left leg in first,On your right side,None,7
Second,7,6,7,Right-handed,Right leg in first,On your back,None,7
Second,4,10,6,Left-handed,Left leg in first,On your left side,None,7
Second,5,3,7,Right-handed,Right leg in first,On your right side,None,7
Second,9,5,6,Right-handed,Right leg in first,On your right side,None,7
Second,7,4,7,Right-handed,Right leg in first,On your stomach,None,7
Third,7,8,6,Right-handed,Left leg in first,On your right side,None,7
Third,5,4,7,Right-handed,Right leg in first,On your right side,None,7
First,4,5,8,Right-handed,Right leg in first,On your back,None,6
First,5,5,6,Right-handed,Left leg in first,On your left side,None,6
First,6,3,9,Right-handed,Left leg in first,On your right side,None,6
First,5,5,5,Right-handed,Right leg in first,On your right side,None,6
First,6,5,6,Right-handed,Right leg in first,On your right side,None,6
First,4,2,7,Right-handed,I don't know,On your stomach,None,6
First,7,5,7,Right-handed,I don't know,On your stomach,None,6
Second,4,4,7,Right-handed,Right leg in first,On your back,None,6
Second,10,3,7,Right-handed,Left leg in first,On your right side,None,6
Second,5,5,6,Right-handed,Right leg in first,On your right side,None,6
Third,3,4,8,Right-handed,I don't know,On your left side,None,6
Third,6,5,7,Right-handed,Left leg in first,On your left side,None,6
Third,4,2,8.5,Right-handed,Right leg in first,On your left side,None,6
Third,4,2,4,Left-handed,Right leg in first,On your right side,None,6
Third,5,3,6,Right-handed,Right leg in first,On your right side,None,6
First,7,15,7,Right-handed,Right leg in first,On your right side,None,5
Fourth,7,10,9,Right-handed,Right leg in first,On your left side,None,5
Second,8,10,7.5,Right-handed,Left leg in first,On your back,None,5
Second,3,5,7,Right-handed,Right leg in first,On your back,None,5
Second,9,10,6,Right-handed,Right leg in first,On your back,None,5
Second,7,8,5,Left-handed,Left leg in first,On your left side,None,5
Second,5,7,4,Right-handed,Right leg in first,On your left side,None,5
Second,7,8,6,Right-handed,I don't know,On your right side,None,5
Third,1,3,7,Left-handed,Left leg in first,On your back,None,5
Third,7,6,6,Left-handed,Right leg in first,On your back,None,5
Third,2,4,6,Right-handed,Right leg in first,On your back,None,5
First,8,10,6,Left-handed,Left leg in first,On your back,None,4
First,4,7,8,Right-handed,Left leg in first,On your back,None,4
First,7,10,6,Right-handed,Left leg in first,On your back,None,4
First,7,5,7,Right-handed,Right leg in first,On your back,None,4
First,7,15,8,Right-handed,Right leg in first,On your back,None,4
First,8,8,7,Right-handed,I don't know,On your left side,None,4
First,5,4,8,Right-handed,Left leg in first,On your left side,None,4
First,7,8,7,Right-handed,Left leg in first,On your left side,None,4
First,7,15,7,Right-handed,Left leg in first,On your left side,None,4
First,4,5,5,Right-handed,Right leg in first,On your left side,None,4
First,7,2,6,Right-handed,Right leg in first,On your left side,None,4
First,7,7,6,Right-handed,Right leg in first,On your left side,None,4
First,8,20,6,Right-handed,Right leg in first,On your left side,None,4
First,5,15,6,Right-handed,I don't know,On your right side,None,4
First,8,7,6,Right-handed,I don't know,On your right side,None,4
First,3,4,7,Right-handed,Left leg in first,On your right side,None,4
First,6,10,8,Right-handed,Left leg in first,On your right side,None,4
First,3,10,7,Right-handed,Right leg in first,On your right side,None,4
First,4,14,6,Right-handed,Right leg in first,On your right side,None,4
First,8,10,5,Right-handed,Right leg in first,On your right side,None,4
First,8,15,7,Right-handed,Right leg in first,On your right side,None,4
First,8,6,7,Right-handed,I don't know,On your stomach,None,4
First,8,15,7,Ambidextrous ,Left leg in first,On your stomach,None,4
Second,6,3,6,Right-handed,Right leg in first,On your back,None,4
Second,8,7,7,Right-handed,Right leg in first,On your back,None,4
Second,8,10,6,Right-handed,I don't know,On your left side,None,4
Second,9,10,7,Right-handed,I don't know,On your left side,None,4
Second,4,8,6,Right-handed,Right leg in first,On your left side,None,4
Second,5,3,7,Right-handed,Right leg in first,On your left side,None,4
Second,6,5,8,Left-handed,Left leg in first,On your right side,None,4
Second,5,10,7.5,Right-handed,Right leg in first,On your right side,None,4
Third,1,2,8,Right-handed,Right leg in first,On your back,None,4
Third,7,2,7,Right-handed,Left leg in first,On your left side,None,4
Third,7,20,7,Right-handed,Left leg in first,On your left side,None,4
Third,6,3,7,Right-handed,Right leg in first,On your left side,None,4
Third,7,5,8,Right-handed,Right leg in first,On your left side,None,4
Third,3,10,7,Right-handed,Left leg in first,On your right side,None,4
Third,7,7,8,Right-handed,Left leg in first,On your right side,None,4
Third,8,6,6,Right-handed,Left leg in first,On your right side,None,4
Third,5,2,7,Right-handed,Right leg in first,On your right side,None,4
Third,4,15,5,Right-handed,Right leg in first,On your stomach,None,4
Third,6,7,7,Right-handed,Right leg in first,On your stomach,None,4
First,3,5,7,Right-handed,Left leg in first,On your back,None,3
First,4,15,5,Right-handed,Right leg in first,On your left side,None,3
First,4,1,6,Right-handed,Right leg in first,On your right side,None,3
First,4,3,8,Right-handed,Right leg in first,On your right side,None,3
First,5,3,7,Right-handed,Right leg in first,On your right side,None,3
First,8,5,7,Right-handed,Right leg in first,On your right side,None,3
Fourth,3,4,6,Right-handed,I don't know,On your right side,None,3
Fourth,9,8,8,Left-handed,Right leg in first,On your right side,None,3
Fourth,3,2,6,Right-handed,I don't know,On your stomach,None,3
Second,5,20,8,Right-handed,Left leg in first,On your back,None,3
Second,8,8,7,Left-handed,Right leg in first,On your back,None,3
Second,8,9,7,Right-handed,Right leg in first,On your back,None,3
Second,4,9,7,Left-handed,I don't know,On your left side,None,3
Second,2,3,5,Right-handed,Right leg in first,On your left side,None,3
Second,6,6,6,Right-handed,Right leg in first,On your left side,None,3
Second,6,6,7,Right-handed,Right leg in first,On your left side,None,3
Second,7,7,7,Right-handed,Right leg in first,On your left side,None,3
Second,4,12,7,Right-handed,Right leg in first,On your left side,None,3
Second,6,6,7,Right-handed,I don't know,On your right side,None,3
Second,5,8,8,Right-handed,Right leg in first,On your right side,None,3
Second,3,1,7,Right-handed,Left leg in first,On your stomach,None,3
Second,1,3,6,Right-handed,Right leg in first,On your stomach,None,3
Second,9,8,8,Right-handed,Right leg in first,On your stomach,None,3
Third,7,5,8,Right-handed,Left leg in first,On your back,None,3
Third,7,8,7,Right-handed,Right leg in first,On your back,None,3
Third,3,6,7,Right-handed,Left leg in first,On your left side,None,3
Third,2,2,7,Right-handed,Right leg in first,On your left side,None,3
Third,4,6,6,Right-handed,Right leg in first,On your left side,None,3
Third,7,5,6,Right-handed,Right leg in first,On your left side,None,3
Third,5,8,7,Right-handed,Right leg in first,On your right side,None,3
First,6,3,5,Right-handed,I don't know,On your back,None,2
First,3,4,8,Right-handed,Left leg in first,On your back,None,2
First,4,6,7,Right-handed,Left leg in first,On your back,None,2
First,4,10,7,Right-handed,Left leg in first,On your back,None,2
First,5,4,7,Right-handed,Left leg in first,On your back,None,2
First,6,4,6,Right-handed,Left leg in first,On your back,None,2
First,6,5,8,Right-handed,Left leg in first,On your back,None,2
First,7,5,7,Right-handed,Left leg in first,On your back,None,2
First,1,3,8,Right-handed,Right leg in first,On your back,None,2
First,2,3,8,Right-handed,Right leg in first,On your back,None,2
First,3,5,8,Right-handed,Right leg in first,On your back,None,2
First,4,2,7,Right-handed,Right leg in first,On your back,None,2
First,5,10,7,Right-handed,Right leg in first,On your back,None,2
First,6,4,7,Right-handed,Right leg in first,On your back,None,2
First,7,6,7,Right-handed,Right leg in first,On your back,None,2
First,8,7,7,Right-handed,Right leg in first,On your back,None,2
First,8,14,7,Right-handed,Right leg in first,On your back,None,2
First,7,9,6.5,Left-handed,I don't know,On your left side,None,2
First,3,5,7.5,Right-handed,I don't know,On your left side,None,2
First,4,5,7,Right-handed,I don't know,On your left side,None,2
First,7,10,7.5,Right-handed,I don't know,On your left side,None,2
First,8,6,7,Right-handed,I don't know,On your left side,None,2
First,3,5,6,Right-handed,Left leg in first,On your left side,None,2
First,4,8,8,Right-handed,Left leg in first,On your left side,None,2
First,5,5,7,Right-handed,Left leg in first,On your left side,None,2
First,5,8,7,Right-handed,Left leg in first,On your left side,None,2
First,5,9,8,Right-handed,Left leg in first,On your left side,None,2
First,2,4,7,Left-handed,Right leg in first,On your left side,None,2
First,6,7,6,Left-handed,Right leg in first,On your left side,None,2
First,2,10,8,Right-handed,Right leg in first,On your left side,None,2
First,3,3,7,Right-handed,Right leg in first,On your left side,None,2
First,3,3,8,Right-handed,Right leg in first,On your left side,None,2
First,3,8,8,Right-handed,Right leg in first,On your left side,None,2
First,3,15,5,Right-handed,Right leg in first,On your left side,None,2
First,4,2,7,Right-handed,Right leg in first,On your left side,None,2
First,4,6,6.5,Right-handed,Right leg in first,On your left side,None,2
First,4,6,7,Right-handed,Right leg in first,On your left side,None,2
First,4,6,7,Right-handed,Right leg in first,On your left side,None,2
First,4,20,7,Right-handed,Right leg in first,On your left side,None,2
First,5,3,5,Right-handed,Right leg in first,On your left side,None,2
First,5,4,6,Right-handed,Right leg in first,On your left side,None,2
First,5,6,6,Right-handed,Right leg in first,On your left side,None,2
First,5,10,7,Right-handed,Right leg in first,On your left side,None,2
First,6,5,6,Right-handed,Right leg in first,On your left side,None,2
First,6,5,6.5,Right-handed,Right leg in first,On your left side,None,2
First,6,5,8,Right-handed,Right leg in first,On your left side,None,2
First,6,7,5,Right-handed,Right leg in first,On your left side,None,2
First,7,4,7,Right-handed,Right leg in first,On your left side,None,2
First,7,15,8,Right-handed,Right leg in first,On your left side,None,2
First,3,5,7,Right-handed,I don't know,On your right side,None,2
First,5,4,6,Right-handed,I don't know,On your right side,None,2
First,5,4,7,Right-handed,I don't know,On your right side,None,2
First,8,6,6,Right-handed,I don't know,On your right side,None,2
First,3,5,7.5,Left-handed,Left leg in first,On your right side,None,2
First,3,7,8,Right-handed,Left leg in first,On your right side,None,2
First,3,10,8,Right-handed,Left leg in first,On your right side,None,2
First,4,4,6,Right-handed,Left leg in first,On your right side,None,2
First,7,3,7,Right-handed,Left leg in first,On your right side,None,2
First,8,8,6,Right-handed,Left leg in first,On your right side,None,2
First,10,15,8,Right-handed,Left leg in first,On your right side,None,2
First,10,25,8,Right-handed,Left leg in first,On your right side,None,2
First,2,6,5,Right-handed,Right leg in first,On your right side,None,2
First,2,10,8,Right-handed,Right leg in first,On your right side,None,2
First,3,3,6,Right-handed,Right leg in first,On your right side,None,2
First,4,5,7,Right-handed,Right leg in first,On your right side,None,2
First,4,8,6,Right-handed,Right leg in first,On your right side,None,2
First,5,4,7,Right-handed,Right leg in first,On your right side,None,2
First,5,5,6,Right-handed,Right leg in first,On your right side,None,2
First,5,6,5,Right-handed,Right leg in first,On your right side,None,2
First,6,5,7,Right-handed,Right leg in first,On your right side,None,2
First,6,15,7,Right-handed,Right leg in first,On your right side,None,2
First,7,4,6,Right-handed,Right leg in first,On your right side,None,2
First,7,4,7,Right-handed,Right leg in first,On your right side,None,2
First,7,5,7,Right-handed,Right leg in first,On your right side,None,2
First,7,12,7,Right-handed,Right leg in first,On your right side,None,2
First,7,15,7,Right-handed,Right leg in first,On your right side,None,2
First,8,10,8,Right-handed,Right leg in first,On your right side,None,2
First,8,12,7,Right-handed,Right leg in first,On your right side,None,2
First,3,11,6.5,Left-handed,I don't know,On your stomach,None,2
First,7,4,6,Right-handed,I don't know,On your stomach,None,2
First,2,3,7,Right-handed,Left leg in first,On your stomach,None,2
First,7,4,9,Right-handed,Left leg in first,On your stomach,None,2
First,3,4,7,Right-handed,Right leg in first,On your stomach,None,2
First,4,4,8,Right-handed,Right leg in first,On your stomach,None,2
First,5,15,7,Right-handed,Right leg in first,On your stomach,None,2
First,9,25,7,Right-handed,Right leg in first,On your stomach,None,2
Fourth,4,2,8,Right-handed,Left leg in first,On your back,None,2
Fourth,2,2,7,Right-handed,Right leg in first,On your back,None,2
Fourth,6,7,7,Right-handed,Left leg in first,On your left side,None,2
Fourth,6,6,7,Right-handed,Right leg in first,On your left side,None,2
Fourth,8,2,9,Left-handed,I don't know,On your right side,None,2
Fourth,3,3,7,Right-handed,I don't know,On your right side,None,2
Fourth,7,3,7,Right-handed,Left leg in first,On your right side,None,2
Fourth,3,7,5,Right-handed,Right leg in first,On your right side,None,2
Fourth,6,4,6,Right-handed,I don't know,On your stomach,None,2
Graduate Student,9,3,7,Right-handed,Left leg in first,On your right side,None,2
Second,1,0,13,Left-handed,Left leg in first,On your back,None,2
Second,3,4,6,Left-handed,Left leg in first,On your back,None,2
Second,4,4,6,Right-handed,Left leg in first,On your back,None,2
Second,5,5,8,Right-handed,Left leg in first,On your back,None,2
Second,7,5,7,Right-handed,Left leg in first,On your back,None,2
Second,7,10,8,Right-handed,Left leg in first,On your back,None,2
Second,8,20,6,Right-handed,Left leg in first,On your back,None,2
Second,6,5,6,Right-handed,Right leg in first,On your back,None,2
Second,6,5,8,Right-handed,Right leg in first,On your back,None,2
Second,7,8,6,Right-handed,Right leg in first,On your back,None,2
Second,4,5,6,Right-handed,I don't know,On your left side,None,2
Second,6,16,7,Right-handed,I don't know,On your left side,None,2
Second,3,2,8,Left-handed,Left leg in first,On your left side,None,2
Second,4,5,7,Left-handed,Left leg in first,On your left side,None,2
Second,4,20,8.5,Right-handed,Left leg in first,On your left side,None,2
Second,5,5,8,Right-handed,Left leg in first,On your left side,None,2
Second,5,5,9,Right-handed,Left leg in first,On your left side,None,2
Second,6,5,7,Right-handed,Left leg in first,On your left side,None,2
Second,7,4,5,Right-handed,Left leg in first,On your left side,None,2
Second,7,6,8,Right-handed,Left leg in first,On your left side,None,2
Second,8,6,7,Right-handed,Left leg in first,On your left side,None,2
Second,8,25,6.5,Right-handed,Left leg in first,On your left side,None,2
Second,10,15,6,Right-handed,Left leg in first,On your left side,None,2
Second,10,10,7,Left-handed,Right leg in first,On your left side,None,2
Second,3,4,7,Right-handed,Right leg in first,On your left side,None,2
Second,3,5,8,Right-handed,Right leg in first,On your left side,None,2
Second,4,3,6,Right-handed,Right leg in first,On your left side,None,2
Second,4,3,7,Right-handed,Right leg in first,On your left side,None,2
Second,5,3,7,Right-handed,Right leg in first,On your left side,None,2
Second,7,5,7,Right-handed,Right leg in first,On your left side,None,2
Second,8,9,7,Right-handed,Right leg in first,On your left side,None,2
Second,8,10,6,Right-handed,Right leg in first,On your left side,None,2
Second,8,15,8,Right-handed,Right leg in first,On your left side,None,2
Second,5,7,7,Left-handed,I don't know,On your right side,None,2
Second,8,10,8,Right-handed,I don't know,On your right side,None,2
Second,9,8,8,Right-handed,I don't know,On your right side,None,2
Second,4,10,6,Right-handed,Left leg in first,On your right side,None,2
Second,10,3,8,Right-handed,Left leg in first,On your right side,None,2
Second,2,2,7,Right-handed,Right leg in first,On your right side,None,2
Second,2,3,5,Right-handed,Right leg in first,On your right side,None,2
Second,3,5,6,Right-handed,Right leg in first,On your right side,None,2
Second,3,5,7,Right-handed,Right leg in first,On your right side,None,2
Second,4,3,7,Right-handed,Right leg in first,On your right side,None,2
Second,4,3,7,Right-handed,Right leg in first,On your right side,None,2
Second,4,5,7,Right-handed,Right leg in first,On your right side,None,2
Second,4,6,6,Right-handed,Right leg in first,On your right side,None,2
Second,5,3,7,Right-handed,Right leg in first,On your right side,None,2
Second,5,3,7,Right-handed,Right leg in first,On your right side,None,2
Second,5,4,8,Right-handed,Right leg in first,On your right side,None,2
Second,6,4,8,Right-handed,Right leg in first,On your right side,None,2
Second,7,2,7,Right-handed,Right leg in first,On your right side,None,2
Second,7,4,8,Right-handed,Right leg in first,On your right side,None,2
Second,8,6,7,Right-handed,Right leg in first,On your right side,None,2
Second,9,6,7,Right-handed,Right leg in first,On your right side,None,2
Second,6,3,7,Right-handed,Left leg in first,On your stomach,None,2
Second,8,10,6,Right-handed,Left leg in first,On your stomach,None,2
Second,5,3,5,Left-handed,Right leg in first,On your stomach,None,2
Second,3,10,7,Right-handed,Right leg in first,On your stomach,None,2
Second,5,5,6,Right-handed,Right leg in first,On your stomach,None,2
Second,9,10,7,Right-handed,Right leg in first,On your stomach,None,2
Third,8,9,6,Right-handed,I don't know,On your back,None,2
Third,3,1,7,Left-handed,Left leg in first,On your back,None,2
Third,3,3,6,Right-handed,Left leg in first,On your back,None,2
Third,5,5,8,Right-handed,Left leg in first,On your back,None,2
Third,6,20,6,Right-handed,Left leg in first,On your back,None,2
Third,7,8,8,Right-handed,Left leg in first,On your back,None,2
Third,3,10,6,Left-handed,Right leg in first,On your back,None,2
Third,3,1,8,Right-handed,Right leg in first,On your back,None,2
Third,4,5,7,Right-handed,Right leg in first,On your back,None,2
Third,6,1,7,Left-handed,I don't know,On your left side,None,2
Third,5,2,5,Right-handed,I don't know,On your left side,None,2
Third,6,2,7,Right-handed,I don't know,On your left side,None,2
Third,9,2,7,Right-handed,I don't know,On your left side,None,2
Third,7,3,9,Right-handed,Left leg in first,On your left side,None,2
Third,7,6,7,Right-handed,Left leg in first,On your left side,None,2
Third,9,6,7,Right-handed,Left leg in first,On your left side,None,2
Third,6,5,8,Left-handed,Right leg in first,On your left side,None,2
Third,2,2,8,Right-handed,Right leg in first,On your left side,None,2
Third,4,8,5,Right-handed,Right leg in first,On your left side,None,2
Third,6,6,7,Right-handed,Right leg in first,On your left side,None,2
Third,4,5,7,Right-handed,Left leg in first,On your right side,None,2
Third,5,2,7,Right-handed,Left leg in first,On your right side,None,2
Third,8,7,7,Right-handed,Left leg in first,On your right side,None,2
Third,9,4,8,Right-handed,Left leg in first,On your right side,None,2
Third,5,4,7,Right-handed,Right leg in first,On your right side,None,2
Third,5,5,5,Right-handed,Right leg in first,On your right side,None,2
Third,5,10,7,Right-handed,Right leg in first,On your right side,None,2
Third,6,5,8,Right-handed,Right leg in first,On your right side,None,2
Third,3,3,6,Right-handed,Left leg in first,On your stomach,None,2
Third,3,8,7,Right-handed,Right leg in first,On your stomach,None,2
Third,6,7,7,Right-handed,Right leg in first,On your stomach,None,2
First,4,5,8,Right-handed,Left leg in first,On your back,None,1
First,4,6,9,Right-handed,Left leg in first,On your back,None,1
First,6,10,5,Right-handed,Right leg in first,On your back,None,1
First,8,5,7,Right-handed,I don't know,On your left side,None,1
First,5,3,10,Ambidextrous ,Left leg in first,On your left side,None,1
First,7,3,8,Right-handed,Left leg in first,On your left side,None,1
First,8,15,6,Right-handed,Left leg in first,On your left side,None,1
First,10,15,7,Right-handed,Left leg in first,On your left side,None,1
First,4,3,6.5,Right-handed,Right leg in first,On your left side,None,1
First,2,10,7,Right-handed,Left leg in first,On your right side,None,1
First,7,15,8,Right-handed,Left leg in first,On your right side,None,1
First,8,10,7,Right-handed,Left leg in first,On your right side,None,1
First,7,7,6,Right-handed,Right leg in first,On your right side,None,1
First,3,5,6,Right-handed,Right leg in first,On your stomach,None,1
First,5,10,7,Right-handed,Right leg in first,On your stomach,None,1
First,9,3,8,Right-handed,Right leg in first,On your stomach,None,1
Fourth,3,11,6.5,Right-handed,Right leg in first,On your right side,None,1
Second,7,6,8,Right-handed,I don't know,On your back,None,1
Second,5,8,6,Right-handed,Left leg in first,On your back,None,1
Second,6,4,6,Right-handed,Right leg in first,On your back,None,1
Second,8,10,8,Right-handed,Right leg in first,On your back,None,1
Second,8,3,7,Right-handed,Left leg in first,On your left side,None,1
Second,4,5,7,Right-handed,Right leg in first,On your left side,None,1
Second,8,8,8,Right-handed,Right leg in first,On your left side,None,1
Second,3,4,7,Right-handed,Right leg in first,On your right side,None,1
Second,5,3,6,Right-handed,Right leg in first,On your right side,None,1
Third,5,5,7,Right-handed,Right leg in first,On your left side,None,1
Third,4,2,7,Right-handed,Left leg in first,On your right side,None,1
Third,7,3,7,Right-handed,Left leg in first,On your right side,None,1
Third,4,2,5,Right-handed,Right leg in first,On your right side,None,1
Third,5,2,8,Right-handed,Right leg in first,On your right side,None,1
Third,7,10,8,Right-handed,Right leg in first,On your right side,None,1
Third,4,2,8,Right-handed,Left leg in first,On your stomach,None,1
First,8,20,4,Left-handed,I don't know,On your back,None,0
First,2,4,7,Right-handed,I don't know,On your back,None,0
First,3,2,7,Right-handed,I don't know,On your back,None,0
First,3,3,7,Right-handed,I don't know,On your back,None,0
First,6,3,7,Right-handed,I don't know,On your back,None,0
First,7,3,8,Right-handed,I don't know,On your back,None,0
First,8,3,5,Right-handed,I don't know,On your back,None,0
First,8,6,6,Right-handed,I don't know,On your back,None,0
First,3,2,8,Right-handed,Left leg in first,On your back,None,0
First,3,5,7,Right-handed,Left leg in first,On your back,None,0
First,3,5,7.5,Right-handed,Left leg in first,On your back,None,0
First,3,5,8,Right-handed,Left leg in first,On your back,None,0
First,3,11,8,Right-handed,Left leg in first,On your back,None,0
First,4,6,7,Right-handed,Left leg in first,On your back,None,0
First,4,9,7,Right-handed,Left leg in first,On your back,None,0
First,4,15,7,Right-handed,Left leg in first,On your back,None,0
First,5,3,7,Right-handed,Left leg in first,On your back,None,0
First,5,10,7,Right-handed,Left leg in first,On your back,None,0
First,6,5,6,Right-handed,Left leg in first,On your back,None,0
First,7,2,7,Right-handed,Left leg in first,On your back,None,0
First,7,6,7,Right-handed,Left leg in first,On your back,None,0
First,8,5,6,Right-handed,Left leg in first,On your back,None,0
First,9,15,10,Right-handed,Left leg in first,On your back,None,0
First,3,8,8,Left-handed,Right leg in first,On your back,None,0
First,1,2,8,Right-handed,Right leg in first,On your back,None,0
First,3,5,7,Right-handed,Right leg in first,On your back,None,0
First,3,15,7,Right-handed,Right leg in first,On your back,None,0
First,4,2,7,Right-handed,Right leg in first,On your back,None,0
First,4,2,7,Right-handed,Right leg in first,On your back,None,0
First,4,7,7,Right-handed,Right leg in first,On your back,None,0
First,4,8,7,Right-handed,Right leg in first,On your back,None,0
First,4,10,7,Right-handed,Right leg in first,On your back,None,0
First,5,5,7,Right-handed,Right leg in first,On your back,None,0
First,6,5,7,Right-handed,Right leg in first,On your back,None,0
First,6,10,8,Right-handed,Right leg in first,On your back,None,0
First,6,20,7,Right-handed,Right leg in first,On your back,None,0
First,7,3,8,Right-handed,Right leg in first,On your back,None,0
First,7,15,7,Right-handed,Right leg in first,On your back,None,0
First,8,8,7,Right-handed,Right leg in first,On your back,None,0
First,10,30,8,Right-handed,Right leg in first,On your back,None,0
First,5,12,10,Left-handed,I don't know,On your left side,None,0
First,4,4,8,Right-handed,I don't know,On your left side,None,0
First,6,20,5,Right-handed,I don't know,On your left side,None,0
First,8,10,6,Right-handed,I don't know,On your left side,None,0
First,10,12,7,Right-handed,I don't know,On your left side,None,0
First,4,4,6,Right-handed,Left leg in first,On your left side,None,0
First,4,13,6,Right-handed,Left leg in first,On your left side,None,0
First,5,5,7,Right-handed,Left leg in first,On your left side,None,0
First,5,6,8,Right-handed,Left leg in first,On your left side,None,0
First,6,4,7,Right-handed,Left leg in first,On your left side,None,0
First,6,5,6,Right-handed,Left leg in first,On your left side,None,0
First,6,5,8,Right-handed,Left leg in first,On your left side,None,0
First,7,4,8,Right-handed,Left leg in first,On your left side,None,0
First,7,5,6,Right-handed,Left leg in first,On your left side,None,0
First,7,8,7,Right-handed,Left leg in first,On your left side,None,0
First,8,1,6,Right-handed,Left leg in first,On your left side,None,0
First,8,2,7,Right-handed,Left leg in first,On your left side,None,0
First,8,5,7,Right-handed,Left leg in first,On your left side,None,0
First,9,6,6,Right-handed,Left leg in first,On your left side,None,0
First,7,10,6.5,Left-handed,Right leg in first,On your left side,None,0
First,1,2,6.5,Right-handed,Right leg in first,On your left side,None,0
First,3,4,8,Right-handed,Right leg in first,On your left side,None,0
First,3,5,7,Right-handed,Right leg in first,On your left side,None,0
First,3,5,7,Right-handed,Right leg in first,On your left side,None,0
First,3,7,8,Right-handed,Right leg in first,On your left side,None,0
First,4,5,9,Right-handed,Right leg in first,On your left side,None,0
First,5,1,7,Right-handed,Right leg in first,On your left side,None,0
First,5,2,7,Right-handed,Right leg in first,On your left side,None,0
First,5,4,8,Right-handed,Right leg in first,On your left side,None,0
First,5,4,8,Right-handed,Right leg in first,On your left side,None,0
First,5,5,8,Right-handed,Right leg in first,On your left side,None,0
First,6,3,9,Right-handed,Right leg in first,On your left side,None,0
First,6,5,8,Right-handed,Right leg in first,On your left side,None,0
First,6,7,6,Right-handed,Right leg in first,On your left side,None,0
First,6,8,7,Right-handed,Right leg in first,On your left side,None,0
First,7,0,7,Right-handed,Right leg in first,On your left side,None,0
First,7,4,7,Right-handed,Right leg in first,On your left side,None,0
First,7,5,8,Right-handed,Right leg in first,On your left side,None,0
First,7,10,6,Right-handed,Right leg in first,On your left side,None,0
First,7,10,7,Right-handed,Right leg in first,On your left side,None,0
First,8,8,8,Right-handed,Right leg in first,On your left side,None,0
First,8,10,7,Right-handed,Right leg in first,On your left side,None,0
First,9,10,9,Right-handed,Right leg in first,On your left side,None,0
First,9,30,6,Right-handed,Right leg in first,On your left side,None,0
First,3,2,7,Right-handed,I don't know,On your right side,None,0
First,3,3,8,Right-handed,I don't know,On your right side,None,0
First,5,3,7,Right-handed,I don't know,On your right side,None,0
First,5,12,7,Right-handed,I don't know,On your right side,None,0
First,6,10,8,Right-handed,I don't know,On your right side,None,0
First,7,5,7,Right-handed,I don't know,On your right side,None,0
First,7,20,7,Right-handed,I don't know,On your right side,None,0
First,8,0,7,Right-handed,I don't know,On your right side,None,0
First,3,3,8,Right-handed,Left leg in first,On your right side,None,0
First,3,5,8,Right-handed,Left leg in first,On your right side,None,0
First,3,7,7,Right-handed,Left leg in first,On your right side,None,0
First,3,8,8,Right-handed,Left leg in first,On your right side,None,0
First,4,6,7,Right-handed,Left leg in first,On your right side,None,0
First,4,7,8,Right-handed,Left leg in first,On your right side,None,0
First,5,15,8,Right-handed,Left leg in first,On your right side,None,0
First,5,20,7,Right-handed,Left leg in first,On your right side,None,0
First,7,4,7.5,Right-handed,Left leg in first,On your right side,None,0
First,7,10,7,Right-handed,Left leg in first,On your right side,None,0
First,3,4,7,Left-handed,Right leg in first,On your right side,None,0
First,6,7,7,Left-handed,Right leg in first,On your right side,None,0
First,3,3,5,Right-handed,Right leg in first,On your right side,None,0
First,3,8,7,Right-handed,Right leg in first,On your right side,None,0
First,4,2,7,Right-handed,Right leg in first,On your right side,None,0
First,4,2,8,Right-handed,Right leg in first,On your right side,None,0
First,4,8,7,Right-handed,Right leg in first,On your right side,None,0
